Facility Name,Year,Census,Boarded Out,Boarded In,in-House Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced
Herkimer County Jail,2008,62,32,0,31,6,1,0,1,1,22
Herkimer County Jail,2007,60,28,0,32,6,1,0,1,1,23
Herkimer County Jail,2006,56,23,0,34,4,1,0,1,1,27
Herkimer County Jail,2005,59,23,0,36,6,1,0,2,2,26
Herkimer County Jail,2004,69,22,0,48,8,1,0,2,1,36
Herkimer County Jail,2003,62,14,0,48,9,1,0,3,1,34
Herkimer County Jail,2002,49,2,0,47,12,1,0,3,2,29
Herkimer County Jail,2001,49,3,0,46,12,1,0,0,1,32
Herkimer County Jail,2000,54,6,0,49,9,1,0,3,3,32
Herkimer County Jail,1999,52,4,0,48,7,1,0,2,4,34
Herkimer County Jail,1998,48,3,0,46,7,1,0,4,3,31
Herkimer County Jail,1997,50,4,0,47,7,1,0,2,3,34
Jefferson County Jail,2019,129,1,0,128,23,1,0,12,2,91
Jefferson County Jail,2018,167,7,0,159,23,0,0,14,2,119
Jefferson County Jail,2017,185,19,1,166,24,1,1,14,2,124
Jefferson County Jail,2016,177,9,0,168,28,0,0,10,2,127
Jefferson County Jail,2015,173,16,0,157,27,1,0,7,3,119
Jefferson County Jail,2014,177,51,0,127,17,2,0,8,3,97
Jefferson County Jail,2013,180,45,0,135,25,2,0,5,3,100
Jefferson County Jail,2012,158,24,0,133,22,1,0,5,2,103
Jefferson County Jail,2011,171,30,0,141,29,1,0,6,2,103
Jefferson County Jail,2010,169,27,0,142,25,1,0,6,2,107
Jefferson County Jail,2009,147,8,0,140,32,2,1,6,2,96
Jefferson County Jail,2008,134,1,0,133,34,2,4,6,1,86
Jefferson County Jail,2007,156,13,1,144,34,2,0,5,4,98
Jefferson County Jail,2006,160,10,0,150,37,2,1,8,9,94
Jefferson County Jail,2005,138,3,0,135,40,2,5,7,3,77
Jefferson County Jail,2004,132,4,1,128,44,2,4,4,4,70
Jefferson County Jail,2003,129,3,1,127,41,6,3,4,6,68
Jefferson County Jail,2002,133,1,0,132,46,4,2,4,6,70
Jefferson County Jail,2001,128,0,1,129,46,2,5,2,5,68
Jefferson County Jail,2000,139,0,0,138,57,0,3,4,8,66
Jefferson County Jail,1999,132,1,0,131,55,0,0,4,5,66
Jefferson County Jail,1998,157,5,0,153,70,0,0,5,7,71
Jefferson County Jail,1997,141,0,0,141,72,0,1,5,6,57
Lewis County Jail,2019,34,1,0,33,6,3,1,5,0,18
Lewis County Jail,2018,31,1,0,30,5,3,1,2,0,19
Lewis County Jail,2017,36,2,2,36,6,4,0,2,1,24
Lewis County Jail,2016,34,0,1,35,5,5,1,2,1,21
Lewis County Jail,2015,31,1,3,34,8,1,1,2,0,22
Lewis County Jail,2014,30,0,1,31,7,2,2,0,0,20
Lewis County Jail,2013,31,0,3,34,7,2,2,0,1,22
Lewis County Jail,2012,28,0,2,30,8,1,4,0,1,16
Lewis County Jail,2011,29,0,3,32,4,1,7,0,1,19
Lewis County Jail,2010,27,0,5,32,6,1,5,0,0,20
Lewis County Jail,2009,32,0,0,32,6,0,5,0,1,20
Lewis County Jail,2008,32,1,0,31,6,0,4,1,0,20
Lewis County Jail,2007,33,1,1,33,7,0,5,0,1,20
Lewis County Jail,2006,28,0,3,30,7,0,4,2,0,17
Lewis County Jail,2005,29,0,3,31,10,0,0,1,1,20
Lewis County Jail,2004,21,0,8,28,6,0,2,1,0,19
Lewis County Jail,2003,27,1,3,29,10,0,4,2,0,13
Lewis County Jail,2002,24,0,0,24,8,0,4,1,0,11
Lewis County Jail,2001,18,0,0,18,7,0,0,0,0,10
Lewis County Jail,2000,21,0,3,24,9,0,1,0,0,14
Lewis County Jail,1999,22,0,4,26,7,0,2,0,1,16
Lewis County Jail,1998,30,0,3,33,9,0,7,0,1,17
Lewis County Jail,1997,22,0,7,29,9,0,1,0,0,18
Livingston County Jail,2019,122,4,11,129,23,0,46,8,1,50
Livingston County Jail,2018,132,1,11,142,28,0,42,10,2,59
Livingston County Jail,2017,128,0,15,143,32,0,41,8,2,59
Livingston County Jail,2016,139,3,20,156,36,0,33,8,2,77
Livingston County Jail,2015,132,1,16,147,38,0,30,6,2,70
Livingston County Jail,2014,124,2,15,137,34,0,26,5,2,69
Livingston County Jail,2013,116,1,11,126,38,0,20,5,2,62
Livingston County Jail,2012,104,0,10,114,31,0,9,6,2,66
Livingston County Jail,2011,95,13,8,90,31,0,0,6,2,51
Livingston County Jail,2010,100,13,3,91,29,0,0,6,2,54
Livingston County Jail,2009,94,16,2,80,29,0,0,4,2,45
Livingston County Jail,2008,93,11,1,83,29,0,0,5,1,47
Livingston County Jail,2007,109,21,3,91,29,0,0,6,2,54
Livingston County Jail,2006,84,9,1,76,30,0,0,5,2,39
Livingston County Jail,2005,97,11,2,87,38,0,0,2,2,46
Livingston County Jail,2004,96,11,5,90,29,0,0,2,1,57
Livingston County Jail,2003,90,9,3,83,35,0,0,5,1,43
Livingston County Jail,2002,75,6,4,72,32,0,0,4,2,34
Livingston County Jail,2001,73,7,5,72,31,0,0,4,1,36
Livingston County Jail,2000,82,8,4,78,32,0,0,4,3,38
Livingston County Jail,1999,81,9,2,75,33,0,0,3,6,32
Livingston County Jail,1998,74,7,4,70,32,0,0,5,3,30
Livingston County Jail,1997,74,7,4,71,35,0,0,1,2,33
Madison County Jail,2019,90,1,0,89,32,1,6,6,1,42
Madison County Jail,2018,91,3,0,88,25,2,6,3,1,51
Madison County Jail,2017,82,1,0,81,32,3,4,4,1,37
Madison County Jail,2016,80,0,1,80,30,2,2,2,1,42
Madison County Jail,2015,95,0,0,96,34,2,5,4,1,50
Madison County Jail,2014,96,1,1,95,37,2,3,4,2,47
Madison County Jail,2013,89,1,1,89,42,4,5,3,1,34
Madison County Jail,2012,96,0,2,98,39,4,7,4,1,43
Madison County Jail,2011,89,0,1,90,38,5,9,2,1,36
Madison County Jail,2010,86,1,4,88,40,5,4,2,1,38
Madison County Jail,2009,86,6,3,83,39,5,5,2,0,32
Madison County Jail,2008,96,5,2,93,37,4,14,2,0,36
Madison County Jail,2007,93,3,4,94,36,3,18,3,0,34
Madison County Jail,2006,98,5,6,100,35,3,20,6,1,35
Madison County Jail,2005,95,4,4,95,35,2,17,5,1,35
Madison County Jail,2004,87,5,10,92,35,2,13,3,1,38
Madison County Jail,2003,94,6,8,95,33,2,16,2,1,40
Madison County Jail,2002,98,8,8,97,40,2,19,4,1,30
Madison County Jail,2001,72,6,7,74,29,1,17,1,1,26
Madison County Jail,2000,85,5,2,82,35,0,15,2,4,26
Madison County Jail,1999,89,6,5,88,42,0,14,4,4,24
Madison County Jail,1998,94,5,5,94,46,0,14,2,4,28
Madison County Jail,1997,88,4,8,92,35,0,20,2,3,32
Monroe County CF,2019,48,0,0,48,34,0,0,0,0,13
Monroe County CF,2018,218,0,0,218,146,1,0,1,0,70
Monroe County CF,2017,278,0,0,278,166,0,0,2,0,110
Monroe County CF,2016,320,0,1,321,187,0,0,3,0,131
Monroe County CF,2015,310,0,0,310,183,0,0,1,0,126
Monroe County CF,2014,330,0,0,330,204,0,0,0,0,125
Monroe County CF,2013,323,0,0,323,209,0,0,0,0,114
Monroe County CF,2012,372,0,0,372,263,1,0,1,0,108
Monroe County CF,2011,350,0,9,359,255,0,0,6,0,97
Monroe County CF,2010,344,0,8,353,270,0,1,1,1,80
Monroe County CF,2009,332,0,12,343,267,0,1,1,1,73
Monroe County CF,2008,317,0,7,324,264,1,4,2,1,53
Monroe County CF,2007,348,0,8,356,292,1,2,5,1,54
Monroe County CF,2006,356,0,3,359,327,2,1,9,0,19
Monroe County CF,2005,355,0,2,357,332,2,1,8,0,13
Monroe County CF,2004,359,0,1,360,339,1,1,8,0,12
Monroe County CF,2003,417,0,6,423,351,0,2,11,1,57
Monroe County CF,2002,416,0,3,419,349,1,1,14,1,53
Monroe County CF,2001,377,0,0,377,366,0,0,11,0,0
Monroe County CF,2000,427,0,2,429,349,0,2,15,1,62
Monroe County CF,1999,456,0,1,457,358,0,2,12,2,83
Monroe County CF,1998,411,0,0,411,381,1,1,11,0,17
Monroe County CF,1997,353,0,0,353,344,1,0,7,0,1
Monroe County Jail,2019,918,3,4,919,192,0,47,156,22,503
Monroe County Jail,2018,867,2,4,869,131,0,39,140,28,531
Monroe County Jail,2017,928,2,2,928,151,0,34,131,30,582
Monroe County Jail,2016,998,3,4,998,164,0,55,109,30,640
Monroe County Jail,2015,998,4,2,995,155,0,68,85,28,660
Monroe County Jail,2014,1009,1,2,1011,170,0,56,65,29,691
Monroe County Jail,2013,989,1,1,989,166,0,47,66,26,683
Monroe County Jail,2012,970,1,0,969,161,1,50,65,26,666
Monroe County Jail,2011,1000,6,4,999,196,1,77,64,22,639
Monroe County Jail,2010,1057,3,3,1058,207,1,92,84,23,651
Monroe County Jail,2009,1019,1,5,1023,184,1,72,70,29,667
Monroe County Jail,2008,1019,1,4,1022,180,1,66,70,24,681
Monroe County Jail,2007,1033,3,10,1040,168,0,63,100,23,687
Monroe County Jail,2006,1021,2,5,1025,162,0,53,115,24,670
Monroe County Jail,2005,978,1,7,984,141,0,37,97,28,681
Monroe County Jail,2004,990,3,5,992,157,0,51,89,22,672
Monroe County Jail,2003,881,0,1,881,225,0,55,72,18,509
Monroe County Jail,2002,816,0,0,816,166,0,40,93,18,499
Monroe County Jail,2001,897,0,3,900,159,1,34,107,16,584
Monroe County Jail,2000,858,0,1,858,168,1,40,111,26,511
Monroe County Jail,1999,916,2,0,914,184,1,38,122,81,488
Monroe County Jail,1998,976,5,1,972,141,2,39,144,61,585
Monroe County Jail,1997,909,3,3,909,151,2,35,119,33,570
Montgomery County Jail,2019,102,0,4,105,31,0,13,6,1,54
Montgomery County Jail,2018,100,1,0,99,31,1,2,5,3,58
Montgomery County Jail,2017,96,0,0,96,27,2,4,4,2,57
Montgomery County Jail,2016,90,0,0,90,28,1,3,6,3,50
Montgomery County Jail,2015,126,0,5,131,39,1,12,6,3,71
Montgomery County Jail,2014,127,0,5,132,24,1,27,5,3,71
Montgomery County Jail,2013,126,0,10,136,26,1,15,5,2,86
Montgomery County Jail,2012,131,0,8,139,32,2,21,5,2,77
Montgomery County Jail,2011,124,1,14,138,32,3,9,3,3,87
Montgomery County Jail,2010,115,0,6,121,33,2,7,5,2,72
Montgomery County Jail,2009,103,0,4,107,27,2,8,4,2,65
Montgomery County Jail,2008,101,0,7,108,24,3,12,5,3,61
Montgomery County Jail,2007,120,0,6,127,20,3,26,5,2,71
Montgomery County Jail,2006,113,0,6,120,17,1,34,5,2,62
Montgomery County Jail,2005,108,0,9,117,15,1,27,4,1,69
Montgomery County Jail,2004,123,1,7,129,15,2,29,5,0,79
Montgomery County Jail,2003,123,1,9,131,13,6,26,7,0,78
Montgomery County Jail,2002,114,1,16,129,18,3,25,9,4,70
Montgomery County Jail,2001,110,0,13,123,14,3,31,5,2,68
Montgomery County Jail,2000,125,0,12,137,28,3,27,6,3,69
Montgomery County Jail,1999,138,0,15,153,26,2,32,11,6,76
Montgomery County Jail,1998,125,0,11,136,33,1,26,7,6,62
Montgomery County Jail,1997,106,0,9,116,30,2,13,8,6,57
Nassau County CF,2019,1025,8,4,1021,227,1,25,34,8,724
Nassau County CF,2018,1094,7,6,1093,210,1,25,33,9,816
Nassau County CF,2017,1188,10,8,1186,222,0,29,34,14,887
Nassau County CF,2016,1155,6,8,1157,189,1,31,43,10,883
Nassau County CF,2015,1148,7,11,1151,179,1,37,43,12,880
Nassau County CF,2014,1218,9,9,1218,189,1,40,43,12,933
Nassau County CF,2013,1294,7,10,1296,178,1,61,41,12,1004
Nassau County CF,2012,1417,12,86,1491,208,1,101,24,10,1146
Nassau County CF,2011,1467,11,88,1545,241,1,123,17,13,1150
Nassau County CF,2010,1607,6,8,1609,237,1,128,21,10,1213
Nassau County CF,2009,1545,5,7,1547,254,1,127,17,9,1139
Nassau County CF,2008,1571,6,11,1576,268,2,136,18,12,1140
Nassau County CF,2007,1675,4,19,1689,293,2,159,35,17,1184
Nassau County CF,2006,1595,3,13,1606,291,2,152,48,15,1097
Nassau County CF,2005,1550,4,8,1553,297,3,212,46,16,979
Nassau County CF,2004,1617,9,8,1616,251,3,243,44,12,1065
Nassau County CF,2003,1661,22,9,1648,271,2,210,50,13,1102
Nassau County CF,2002,1676,0,11,1687,277,2,229,50,15,1114
Nassau County CF,2001,1533,0,11,1543,288,2,148,45,14,1046
Nassau County CF,2000,1419,0,7,1425,314,2,49,68,58,934
Nassau County CF,1999,1627,0,3,1630,377,3,0,94,193,964
Nassau County CF,1998,1838,0,3,1841,416,4,1,108,209,1103
Nassau County CF,1997,1771,0,2,1773,389,2,2,100,106,1174
Niagara County Jail,2019,346,0,3,349,72,0,105,14,5,152
Niagara County Jail,2018,380,0,3,382,81,0,104,16,4,176
Niagara County Jail,2017,428,0,1,428,98,0,112,13,4,202
Niagara County Jail,2016,416,0,1,417,82,0,115,14,4,202
Niagara County Jail,2015,415,0,1,416,96,0,113,15,8,184
Niagara County Jail,2014,437,0,1,438,110,0,107,11,11,199
Niagara County Jail,2013,460,0,1,460,106,0,107,14,12,221
Niagara County Jail,2012,451,0,0,451,106,0,107,14,11,213
Niagara County Jail,2011,437,0,1,438,114,1,87,21,16,199
Niagara County Jail,2010,468,0,1,469,136,0,82,15,13,223
Niagara County Jail,2009,469,0,2,470,135,0,90,22,16,207
Niagara County Jail,2008,454,1,1,454,123,0,93,28,19,190
Niagara County Jail,2007,453,0,1,454,169,0,74,29,8,174
Niagara County Jail,2006,460,0,0,460,156,0,76,28,6,195
Niagara County Jail,2005,477,0,0,477,138,0,86,27,7,218
Niagara County Jail,2004,438,0,0,438,113,0,94,19,8,204
Niagara County Jail,2003,370,0,0,370,123,0,65,21,14,147
Niagara County Jail,2002,417,0,0,417,55,0,46,28,15,272
Niagara County Jail,2001,329,0,0,329,68,0,41,19,2,199
Niagara County Jail,2000,375,0,0,375,60,0,35,26,8,247
Niagara County Jail,1999,389,0,0,389,103,0,15,26,41,203
Niagara County Jail,1998,385,0,0,384,74,0,0,26,40,245
Niagara County Jail,1997,380,0,0,380,101,0,0,28,40,211
Oneida County Jail,2019,346,0,17,363,117,0,24,35,3,184
Oneida County Jail,2018,395,0,24,419,121,0,19,40,5,235
Oneida County Jail,2017,491,0,21,512,136,0,25,35,7,308
Oneida County Jail,2016,454,1,29,483,141,0,26,39,6,271
Oneida County Jail,2015,419,1,38,457,151,0,27,30,7,242
Oneida County Jail,2014,432,0,51,483,157,0,35,26,8,257
Oneida County Jail,2013,434,0,41,476,155,0,48,28,7,238
Oneida County Jail,2012,424,0,47,471,148,0,37,25,8,253
Oneida County Jail,2011,406,0,28,435,172,0,28,14,7,213
Oneida County Jail,2010,412,0,26,437,159,0,33,8,5,231
Oneida County Jail,2009,436,0,25,461,170,0,25,10,8,246
Oneida County Jail,2008,404,2,37,440,138,0,25,11,5,261
Oneida County Jail,2007,417,2,41,456,148,0,23,20,6,259
Oneida County Jail,2006,407,2,36,441,134,0,38,30,6,233
Oneida County Jail,2005,420,2,27,444,140,0,30,30,9,235
Oneida County Jail,2004,422,1,38,459,162,0,27,30,7,234
Oneida County Jail,2003,376,0,47,422,142,0,27,33,6,213
Oneida County Jail,2002,393,1,19,411,157,0,21,26,11,196
Oneida County Jail,2001,0,0,0,0,0,0,0,0,0,0
Oneida County Jail,2000,348,0,5,353,74,0,28,33,28,190
Oneida County Jail,1999,448,0,34,482,100,0,32,56,64,230
Oneida County Jail,1998,380,32,8,356,79,0,13,40,42,181
Oneida County Jail,1997,344,34,0,310,83,0,2,28,31,166
Onondaga County CF,2019,297,0,1,297,187,4,5,62,0,40
Onondaga County CF,2018,377,2,10,385,242,3,17,78,0,44
Onondaga County CF,2017,445,10,49,485,327,4,22,64,0,68
Onondaga County CF,2016,424,8,87,502,317,4,12,65,0,104
Onondaga County CF,2015,415,6,71,480,322,7,9,55,0,87
Onondaga County CF,2014,450,11,75,514,369,8,6,39,0,92
Onondaga County CF,2013,476,27,59,508,358,5,29,41,0,74
Onondaga County CF,2012,504,13,6,497,350,6,75,46,0,20
Onondaga County CF,2011,487,23,1,465,322,6,84,43,0,11
Onondaga County CF,2010,496,27,1,469,321,7,77,54,0,11
Onondaga County CF,2009,421,19,0,402,289,6,57,47,0,4
Onondaga County CF,2008,472,18,1,455,330,7,58,57,0,3
Onondaga County CF,2007,476,29,1,449,340,4,59,67,0,0
Onondaga County CF,2006,447,24,20,444,354,4,66,65,0,0
Onondaga County CF,2005,373,21,60,412,313,7,32,0,0,60
Onondaga County CF,2004,392,22,45,414,328,6,35,0,0,45
Onondaga County CF,2003,374,14,7,367,327,7,26,0,0,7
Onondaga County CF,2002,352,20,27,360,319,11,17,0,1,12
Onondaga County CF,2001,317,27,2,292,279,11,2,0,0,0
Onondaga County CF,2000,310,24,1,288,277,9,0,1,0,0
Onondaga County CF,1999,355,36,1,320,314,6,0,0,0,0
Onondaga County CF,1998,392,27,1,366,358,7,0,0,0,0
Onondaga County CF,1997,384,32,2,355,350,4,0,0,0,1
Onondaga County Jail,2019,487,0,1,488,21,2,2,15,11,437
Onondaga County Jail,2018,561,9,2,554,23,1,2,9,15,504
Onondaga County Jail,2017,615,50,12,576,14,1,2,5,16,539
Onondaga County Jail,2016,649,87,10,572,11,2,1,3,14,540
Onondaga County Jail,2015,645,72,7,581,20,3,1,2,15,540
Onondaga County Jail,2014,661,75,13,599,27,2,1,2,15,552
Onondaga County Jail,2013,642,60,32,614,25,4,3,3,13,566
Onondaga County Jail,2012,608,6,21,622,24,3,2,2,12,579
Onondaga County Jail,2011,607,1,35,642,28,2,5,3,14,589
Onondaga County Jail,2010,582,1,41,621,28,3,5,2,13,571
Onondaga County Jail,2009,553,1,28,580,19,3,3,2,11,543
Onondaga County Jail,2008,561,0,28,589,20,4,11,2,12,540
Onondaga County Jail,2007,520,1,33,551,16,2,19,3,9,503
Onondaga County Jail,2006,602,20,25,607,25,1,28,20,11,522
Onondaga County Jail,2005,665,60,23,627,27,2,42,64,12,480
Onondaga County Jail,2004,605,25,14,594,26,2,50,57,11,449
Onondaga County Jail,2003,530,1,0,529,18,1,52,54,7,397
Onondaga County Jail,2002,526,1,0,526,14,1,61,67,7,375
Onondaga County Jail,2001,473,2,0,472,14,2,75,56,6,320
Onondaga County Jail,2000,470,1,0,469,18,1,68,58,8,315
Onondaga County Jail,1999,481,0,0,481,22,2,71,68,11,307
Onondaga County Jail,1998,502,1,0,502,15,1,62,75,8,341
Onondaga County Jail,1997,476,1,0,475,21,1,63,64,11,314
Ontario County Jail,2019,139,2,0,137,33,0,0,17,2,86
Ontario County Jail,2018,162,6,0,156,41,0,0,19,2,94
Ontario County Jail,2017,179,4,1,176,57,1,0,19,3,95
Ontario County Jail,2016,219,5,0,214,76,2,0,13,4,119
Ontario County Jail,2015,212,2,0,210,73,1,0,14,5,117
Ontario County Jail,2014,211,2,1,210,76,3,2,11,5,113
Ontario County Jail,2013,217,2,0,216,79,3,0,11,4,118
Ontario County Jail,2012,198,0,0,198,78,1,2,8,4,105
Ontario County Jail,2011,196,0,0,196,83,0,2,10,6,96
Ontario County Jail,2010,198,1,1,197,83,0,3,7,5,100
Ontario County Jail,2009,211,0,2,213,84,0,2,10,6,112
Ontario County Jail,2008,199,0,1,200,77,0,10,10,4,98
Ontario County Jail,2007,215,0,3,218,86,0,8,9,4,111
Ontario County Jail,2006,220,0,4,223,84,0,11,10,5,114
Ontario County Jail,2005,202,0,14,215,89,0,13,9,4,101
Ontario County Jail,2004,164,0,15,179,83,0,0,6,4,86
Ontario County Jail,2003,163,1,0,162,76,0,0,6,5,76
Ontario County Jail,2002,173,4,0,169,82,0,0,9,7,71
Ontario County Jail,2001,164,12,0,152,73,0,0,9,3,67
Ontario County Jail,2000,169,7,0,162,83,0,0,6,9,64
Ontario County Jail,1999,192,16,0,176,96,0,0,9,30,42
Ontario County Jail,1998,182,16,0,167,82,2,0,9,15,60
Ontario County Jail,1997,181,20,0,161,69,2,0,6,11,73
Orange County Jail,2019,618,1,2,619,100,4,197,37,10,272
Orange County Jail,2018,695,1,1,695,122,7,180,36,12,339
Orange County Jail,2017,681,2,3,683,144,6,172,38,12,310
Orange County Jail,2016,663,1,7,669,161,8,172,34,11,282
Orange County Jail,2015,552,0,8,559,122,5,143,28,3,257
Orange County Jail,2014,599,2,8,606,128,10,116,30,7,316
Orange County Jail,2013,582,2,11,590,128,9,122,39,9,283
Orange County Jail,2012,590,3,7,594,121,5,138,38,8,284
Orange County Jail,2011,574,1,5,578,129,7,122,34,9,276
Orange County Jail,2010,606,4,7,609,144,7,116,38,8,297
Orange County Jail,2009,565,2,5,568,119,15,117,36,8,273
Orange County Jail,2008,520,1,16,535,121,17,39,42,10,306
Orange County Jail,2007,520,1,46,565,140,12,1,58,9,346
Orange County Jail,2006,537,0,53,590,149,13,1,76,13,339
Orange County Jail,2005,499,1,101,598,179,13,2,55,14,335
Orange County Jail,2004,486,4,103,585,203,11,0,50,11,310
Orange County Jail,2003,445,1,26,471,138,10,0,51,12,260
Orange County Jail,2002,488,0,10,498,166,11,0,54,22,245
Orange County Jail,2001,444,0,2,445,142,5,0,48,8,243
Orange County Jail,2000,475,0,1,476,178,6,0,55,34,204
Orange County Jail,1999,575,0,1,576,257,6,0,72,82,159
Orange County Jail,1998,590,0,3,593,257,8,0,79,71,178
Orange County Jail,1997,537,3,2,535,211,9,0,63,49,203
Orleans County Jail,2019,58,1,1,57,23,0,0,6,1,27
Orleans County Jail,2018,60,0,1,61,17,0,0,10,1,32
Orleans County Jail,2017,68,2,1,67,21,0,0,7,1,38
Orleans County Jail,2016,63,1,1,63,18,0,0,10,1,35
Orleans County Jail,2015,64,1,3,66,21,0,0,6,1,38
Orleans County Jail,2014,61,0,2,63,20,0,0,3,1,38
Orleans County Jail,2013,62,1,5,65,21,0,0,4,1,39
Orleans County Jail,2012,75,2,5,78,27,0,0,4,1,45
Orleans County Jail,2011,76,1,3,78,28,0,0,5,0,44
Orleans County Jail,2010,73,0,3,76,27,0,0,5,0,43
Orleans County Jail,2009,75,1,1,75,28,0,0,4,0,42
Orleans County Jail,2008,72,4,5,73,19,0,0,4,0,49
Orleans County Jail,2007,66,1,9,74,17,0,0,2,0,54
Orleans County Jail,2006,68,1,10,77,15,0,0,5,2,55
Orleans County Jail,2005,60,1,8,67,14,0,0,5,1,48
Orleans County Jail,2004,65,1,8,71,21,0,0,4,2,45
Orleans County Jail,2003,66,1,8,73,24,0,0,2,2,45
Orleans County Jail,2002,72,1,9,80,30,0,0,4,5,41
Orleans County Jail,2001,62,1,8,69,24,0,0,5,1,39
Orleans County Jail,2000,58,0,8,66,30,0,0,2,5,29
Orleans County Jail,1999,73,0,7,80,39,0,0,1,7,33
Orleans County Jail,1998,72,2,5,75,29,0,0,1,5,40
Orleans County Jail,1997,70,1,7,76,29,0,0,1,7,39
Oswego County Jail,2019,135,9,0,126,41,1,0,19,2,64
Oswego County Jail,2018,169,23,0,145,36,1,0,20,4,85
Oswego County Jail,2017,152,16,0,136,38,0,0,15,4,79
Oswego County Jail,2016,168,20,0,148,40,1,0,17,4,86
Oswego County Jail,2015,171,21,0,150,33,2,0,13,3,98
Oswego County Jail,2014,156,15,0,141,47,3,0,13,4,75
Oswego County Jail,2013,165,12,0,153,53,3,0,9,4,84
Oswego County Jail,2012,187,30,0,158,50,3,0,10,4,91
Oswego County Jail,2011,166,10,0,157,58,2,0,7,4,85
Oswego County Jail,2010,137,2,0,135,60,1,0,6,4,64
Oswego County Jail,2009,118,4,1,115,45,0,0,6,4,60
Oswego County Jail,2008,120,1,0,120,48,0,0,8,2,62
Oswego County Jail,2007,132,0,1,133,49,0,0,11,2,71
Oswego County Jail,2006,134,0,1,135,52,0,0,13,3,67
Oswego County Jail,2005,133,0,1,134,52,0,0,10,2,71
Oswego County Jail,2004,132,0,0,132,45,0,0,10,3,73
Oswego County Jail,2003,117,0,1,118,37,0,0,6,2,72
Oswego County Jail,2002,116,0,0,116,32,0,0,5,4,75
Oswego County Jail,2001,117,0,0,117,33,0,0,5,4,75
Oswego County Jail,2000,125,0,0,126,44,0,0,7,7,67
Oswego County Jail,1999,120,0,0,120,43,0,0,3,10,64
Oswego County Jail,1998,114,0,1,116,50,0,0,7,8,51
Oswego County Jail,1997,108,0,0,108,43,0,0,7,6,54
Otsego County Jail,2019,54,15,0,39,9,0,0,4,0,26
Otsego County Jail,2018,65,2,0,63,17,0,0,5,1,40
Otsego County Jail,2017,57,3,0,54,14,0,0,4,0,36
Otsego County Jail,2016,70,0,3,73,19,0,0,4,0,50
Otsego County Jail,2015,54,0,8,62,18,0,0,5,1,38
Otsego County Jail,2014,68,0,7,75,23,0,0,5,0,47
Otsego County Jail,2013,71,0,6,76,27,0,0,4,1,45
Otsego County Jail,2012,77,0,1,79,25,0,0,3,1,50
Otsego County Jail,2011,70,1,0,68,23,0,0,2,1,42
Otsego County Jail,2010,69,1,0,68,26,0,0,2,1,39
Otsego County Jail,2009,71,1,0,70,27,0,0,2,1,40
Otsego County Jail,2008,61,0,0,61,23,0,0,1,1,37
Otsego County Jail,2007,63,0,0,63,25,0,0,1,1,36
Otsego County Jail,2006,69,1,0,68,21,0,0,1,1,45
Otsego County Jail,2005,61,0,3,64,18,0,0,1,1,43
Otsego County Jail,2004,64,0,2,67,23,0,0,1,1,41
Otsego County Jail,2003,60,0,8,69,21,0,0,2,2,44
Otsego County Jail,2002,53,0,14,67,19,0,0,2,1,44
Otsego County Jail,2001,51,0,7,58,15,0,0,3,1,39
Otsego County Jail,2000,47,0,13,60,15,0,0,2,0,43
Otsego County Jail,1999,49,0,15,64,19,0,0,4,4,36
Otsego County Jail,1998,50,0,13,63,29,0,0,2,3,29
Otsego County Jail,1997,42,0,17,59,32,0,0,2,2,23
Putnam County Jail,2019,62,0,3,65,9,0,16,2,1,37
Putnam County Jail,2018,75,0,3,77,11,0,16,2,1,47
Putnam County Jail,2017,84,0,2,86,14,0,19,2,1,50
Putnam County Jail,2016,83,0,3,85,13,0,14,2,1,55
Putnam County Jail,2015,87,1,2,88,10,0,12,2,1,62
Putnam County Jail,2014,104,3,0,101,14,2,6,2,1,77
Putnam County Jail,2013,109,3,6,111,17,1,3,2,1,87
Putnam County Jail,2012,101,6,12,107,15,1,2,2,1,87
Putnam County Jail,2011,114,2,4,116,15,2,8,2,1,87
Putnam County Jail,2010,102,3,4,103,17,1,4,1,1,77
Putnam County Jail,2009,108,2,1,107,18,2,11,1,1,74
Putnam County Jail,2008,107,2,2,106,19,2,17,1,0,67
Putnam County Jail,2007,91,0,8,99,16,2,23,1,1,56
Putnam County Jail,2006,95,0,16,111,21,1,20,2,1,65
Putnam County Jail,2005,78,0,30,108,27,1,18,1,1,60
Putnam County Jail,2004,68,0,37,104,27,0,20,1,1,55
Putnam County Jail,2003,79,0,25,104,20,0,28,1,1,53
Putnam County Jail,2002,71,0,37,107,26,0,21,2,1,57
Putnam County Jail,2001,52,0,22,74,25,2,9,1,0,36
Putnam County Jail,2000,53,0,23,76,35,1,7,1,2,30
Putnam County Jail,1999,64,0,32,96,46,1,9,2,6,33
Putnam County Jail,1998,67,0,37,103,54,1,9,3,4,32
Putnam County Jail,1997,54,0,22,76,34,1,8,1,1,30
Rensselaer County Jail,2019,303,1,1,303,54,2,121,28,3,95
Rensselaer County Jail,2018,321,1,0,320,58,2,123,29,3,105
Rensselaer County Jail,2017,298,0,2,300,56,4,109,21,3,108
Rensselaer County Jail,2016,309,2,2,309,93,4,98,22,4,89
Rensselaer County Jail,2015,314,1,13,326,94,3,85,16,4,123
Rensselaer County Jail,2014,317,0,34,351,91,3,80,19,5,152
